dispatch,xopt_pv,xopt_wind,xopt_sto,xopt_elyz,xopt_fc,xopt_hyTank,lcoe_opt,shed_max,algo,srand,ret,numevals,time,shed_rate_opt,capex,om,replacement,opex,fc_hours,elyz_hours,fc_starts,elyz_starts,batt_cycles,h2_consumed,ini_h2_level,ini_bat_level,fc_energy,batt_energy
1,4.001008321211499,1.7999999999999998,5.489480093639674,0.8649108727118173,1.4687614920942258,16.255323732201873,0.3570335575191358,5.0e-5,CRS2,1,XTOL_REACHED,18772,18.713000059127808,4.999999822588127e-5,2.488725543780613e7,6.822689815962866e6,2.8044255135571184e6,9.627115329519983e6,1199.0,3583.0,125.0,233.0,161.8830908741935,42919.90705769777,0.014016374135945366,0.0,686718.5129231643,844221.3046082102
2,6.662460274361104,1.8,0.22119939283330192,1.9068989272226595,1.4037344465682846,16.994633217371536,0.41271023479598223,5.0e-5,CRS2,1,XTOL_REACHED,21212,20.835999965667725,4.999999972297114e-5,2.8169891893218003e7,7.476997349662911e6,4.278781477415715e6,1.1755778827078626e7,2905.0,4819.0,314.0,350.0,45.00167682785548,89907.9888177983,0.013406626252225964,0.0,1.4385278210847727e6,9456.626411262001
1,4.001008539247634,1.8,5.489486379790987,0.8649099499350248,1.4687614939671778,16.255321196093483,0.3570335575230636,5.0e-5,CRS2,2,XTOL_REACHED,20290,19.968000173568726,4.9999996642132856e-5,2.4887255157842606e7,6.822690049357266e6,2.8044257733029155e6,9.627115822660182e6,1199.0,3583.0,125.0,233.0,161.8830046831659,42919.87413018898,0.014016375182418142,0.0,686717.9860830237,844221.8218614857
2,6.662459318889104,1.7999999999999998,0.22119414481778746,1.9068992462065995,1.4037353852027528,16.99463463058534,0.41271023429327036,5.0e-5,CRS2,2,XTOL_REACHED,20184,20.15500020980835,4.9999996206879095e-5,2.816989162955406e7,7.476997213474597e6,4.278781845079823e6,1.175577905855442e7,2905.0,4819.0,314.0,350.0,45.0026457044994,89907.99137993593,0.013406628968547385,0.0,1.438527862078975e6,9456.60564458739
1,4.0010079744417695,1.7999999988441155,5.489492236454642,0.8649092877212681,1.468761492748385,16.2553199171448,0.3570335581579873,5.0e-5,CRS2,3,XTOL_REACHED,18394,18.147000074386597,4.999999740355596e-5,2.4887254825047325e7,6.822690230420552e6,2.8044261842590896e6,9.627116414679643e6,1199.0,3583.0,125.0,233.0,161.882918777086,42919.84742923174,0.014016376950909133,0.0,686717.5588677078,844222.2745493593
2,6.662459482101433,1.8,0.2211946941281477,1.9068992039465336,1.4037353019359635,16.994634363114262,0.41271023471358675,5.0e-5,CRS2,3,XTOL_REACHED,18347,17.7260000705719,4.999998493346153e-5,2.8169891681828678e7,7.476997242804341e6,4.278781803417886e6,1.1755779046222227e7,2905.0,4819.0,314.0,350.0,45.002543805936185,89907.99104120066,0.01340662388252489,0.0,1.4385278566592105e6,9456.607716535493
1,4.001008547406842,1.8,5.489480978832177,0.8649106985882428,1.4687614917934435,16.255323079456584,0.3570335573866938,5.0e-5,CRS2,4,XTOL_REACHED,19808,19.296000003814697,4.999999862544554e-5,2.4887255413431965e7,6.822689859511439e6,2.8044255113956067e6,9.627115370907046e6,1199.0,3583.0,125.0,233.0,161.88308017657482,42919.901413445186,0.014016373932725812,0.0,686718.422615123,844221.384952868
2,6.662460488296794,1.8,0.22119882656409154,1.9068988600198313,1.4037345714100173,16.994633325188133,0.4127102361274039,5.0e-5,CRS2,4,XTOL_REACHED,18530,18.25600004196167,4.999994369981631e-5,2.816989209903945e7,7.476997373738772e6,4.278781366756074e6,1.1755778740494847e7,2905.0,4819.0,314.0,350.0,45.00178066950116,89907.98871534986,0.013406631052314944,0.0,1.4385278194455977e6,9456.624023518862
1,4.001008300501004,1.8,5.489482956127848,0.8649104802849052,1.46876150165064,16.25532274841565,0.35703355780627344,5.0e-5,CRS2,5,XTOL_REACHED,22813,22.782999992370605,4.999998553097438e-5,2.4887255310130782e7,6.822689920804638e6,2.804425662612147e6,9.627115583416786e6,1199.0,3583.0,125.0,233.0,161.88305074336495,42919.892687591375,0.014016374071519016,0.0,686718.283001462,844221.5355445973
2,6.662461988527092,1.7999999999999998,0.22120834484780463,1.9068982761462256,1.4037328492280485,16.994631438256043,0.41271023665242723,5.0e-5,CRS2,5,XTOL_REACHED,18399,18.56599998474121,4.999999680923252e-5,2.8169892601950757e7,7.476997577411599e6,4.278780675852971e6,1.175577825326457e7,2905.0,4819.0,314.0,350.0,45.00003659009597,89907.98417925162,0.013406650994655833,0.0,1.438527746868026e6,9456.664431576486
1,4.001008691891592,1.7999999990657218,5.489481065956435,0.8649106467286327,1.468761493649437,16.25532288706635,0.3570335574117523,5.0e-5,CRS2,6,XTOL_REACHED,19868,20.233999967575073,4.999999619763491e-5,2.488725543797278e7,6.822689869372207e6,2.8044254825319205e6,9.627115351904128e6,1199.0,3583.0,125.0,233.0,161.88308006542135,42919.900246640784,0.014016374698430003,0.0,686718.4039462525,844221.397771948
2,6.662459328872966,1.7999999992283453,0.2211942466648328,1.9068992555982853,1.4037353664896544,16.99463452600444,0.41271023426463976,5.0e-5,CRS2,6,XTOL_REACHED,21829,22.341000080108643,4.999999749511189e-5,2.8169891606309023e7,7.476997217615445e6,4.278781863393472e6,1.1755779081008917e7,2905.0,4819.0,314.0,350.0,45.00262631169468,89907.99137297866,0.013406624988263852,0.0,1.4385278619676586e6,9456.605923706573
1,4.001008403983432,1.7999999973091885,5.489501756598316,0.8649078419852427,1.4687614977988008,16.25531607977733,0.35703355815978044,5.0e-5,CRS2,7,XTOL_REACHED,18379,18.67200016975403,4.9999990756471886e-5,2.48872544435082e7,6.82269058141884e6,2.804426537529676e6,9.627117118948516e6,1199.0,3583.0,125.0,233.0,161.88278904454785,42919.79708026491,0.014016380758673995,0.0,686716.7532842385,844223.062081926
2,6.662463041030112,1.8,0.22120641352869436,1.9068980490086938,1.4037331943495048,16.99463090053311,0.4127102386138339,5.0e-5,CRS2,7,XTOL_REACHED,17298,18.05999994277954,4.999999623525277e-5,2.8169893106308095e7,7.476997649606304e6,4.278780239778284e6,1.1755777889384588e7,2905.0,4819.0,314.0,350.0,45.00036593251566,89907.98365331722,0.013406640501886804,0.0,1.4385277384530755e6,9456.651077640097
1,4.00100856049868,1.7999999989928086,5.489493132708725,0.8649090137979281,1.4687614918436283,16.255318801649906,0.3570335577561037,5.0e-5,CRS2,8,XTOL_REACHED,18986,19.694999933242798,4.999999859944697e-5,2.488725484503869e7,6.822690288814973e6,2.804426096973021e6,9.627116385787994e6,1199.0,3583.0,125.0,233.0,161.88291056828885,42919.839871796736,0.01401637785175911,0.0,686717.4379487478,844222.3695741462
2,6.6624599333155485,1.8,0.22119674804155223,1.9068990485647852,1.4037349333479063,16.99463387683501,0.41271023527531536,5.0e-5,CRS2,8,XTOL_REACHED,18775,19.294999837875366,4.9999965490231546e-5,2.816989186159184e7,7.476997301929e6,4.278781607944745e6,1.1755778909873744e7,2905.0,4819.0,314.0,350.0,45.00216321415194,89907.98996516585,0.013406628165858117,0.0,1.4385278394426536e6,9456.6155499153
1,4.001008687858791,1.8,5.489480589152835,0.8649107125388467,1.468761492701489,16.25532303541086,0.35703355723610414,5.0e-5,CRS2,9,XTOL_REACHED,19529,19.7260000705719,4.99999974191822e-5,2.4887255447272766e7,6.822689850924719e6,2.8044254585841736e6,9.627115309508894e6,1199.0,3583.0,125.0,233.0,161.88308665349683,42919.90266196777,0.014016373686192563,0.0,686718.4425914843,844221.3588016914
2,6.662459989806344,1.8,0.2211981229532825,1.9068990136602195,1.4037347052278437,16.994633636428468,0.4127102355666606,5.0e-5,CRS2,9,XTOL_REACHED,16976,17.41700005531311,4.999992439811468e-5,2.8169891869278885e7,7.476997331753243e6,4.278781605988381e6,1.1755778937741624e7,2905.0,4819.0,314.0,350.0,45.001914877340155,89907.98949192959,0.013406627185668377,0.0,1.4385278318708735e6,9456.622145162488
1,4.001008685868801,1.7999999996134457,5.48948124237417,0.8649106172210624,1.4687614914195302,16.255322861435204,0.357033557335723,5.0e-5,CRS2,10,XTOL_REACHED,20109,20.562999963760376,4.99999991377667e-5,2.4887255431024604e7,6.822689872152806e6,2.80442548493494e6,9.627115357087746e6,1199.0,3583.0,125.0,233.0,161.8830775324812,42919.89937356334,0.014016375649749157,0.0,686718.3899770135,844221.4116937411
2,6.662461541907743,1.7999999998529845,0.22120623930031236,1.906898447054707,1.4037332589013944,16.99463182181528,0.4127102370053844,5.0e-5,CRS2,10,XTOL_REACHED,19168,19.369999885559082,4.999995083235117e-5,2.8169892446787976e7,7.476997541992773e6,4.278780919993229e6,1.1755778461986002e7,2905.0,4819.0,314.0,350.0,45.00042502648952,89907.98531697341,0.01340664029412361,0.0,1.4385277650715746e6,9456.656047674136
1,4.00092433003539,1.7999999991758067,5.492176004529627,0.8637857896946316,1.4350211209676385,16.237672557647226,0.35592269405068894,0.0001,CRS2,1,XTOL_REACHED,21561,21.9760000705719,9.999999550658945e-5,2.4823487900352113e7,6.799954227794156e6,2.777936476172727e6,9.577890703966884e6,1198.0,3583.0,125.0,233.0,161.8407412539312,42883.27749914702,0.014031610373002901,0.0,686132.4399863523,844414.9438866226
2,6.649367332297217,1.7999999990378273,0.20194197609064254,1.9111784336702495,1.3884713516865541,16.988903106450913,0.4120705186425215,0.0001,CRS2,1,XTOL_REACHED,16030,16.453999996185303,9.999998866893095e-5,2.8126995168599557e7,7.46324314619012e6,4.270471067352263e6,1.1733714213542383e7,2910.0,4818.0,313.0,350.0,47.59089163887193,89921.98512437983,0.013384668814568491,0.0,1.4387517619900773e6,9130.068766395963
1,4.000924468102715,1.7999999921558612,5.492163547349847,0.8637874987213567,1.4350211228607015,16.23767679190778,0.35592269421586603,0.0001,CRS2,2,XTOL_REACHED,22668,23.332000017166138,9.999999276930259e-5,2.482348853604676e7,6.799953800845731e6,2.777935862039877e6,9.577889662885608e6,1198.0,3583.0,125.0,233.0,161.84091637968692,42883.33994610679,0.014031606690474775,0.0,686133.4391377086,844413.9423397008
2,6.649367282761766,1.799999958879819,0.20194283751362513,1.9111785500484475,1.3884712364085086,16.988903699392075,0.41207052603277594,0.0001,CRS2,2,XTOL_REACHED,12490,12.988999843597412,9.999996865247944e-5,2.8126995571745954e7,7.463243229522165e6,4.270471316559132e6,1.1733714546081297e7,2910.0,4818.0,313.0,350.0,47.59074561794096,89921.98578074382,0.013384682697537625,0.0,1.4387517724919012e6,9130.079699002312
1,4.000924352476849,1.8,5.492169083212097,0.8637867319628427,1.4350211205359575,16.2376749688953,0.35592269360510503,0.0001,CRS2,3,XTOL_REACHED,25278,25.842999935150146,9.999999872683816e-5,2.4823488220060706e7,6.799953979789232e6,2.7779361275003403e6,9.577890107289571e6,1198.0,3583.0,125.0,233.0,161.84083794873465,42883.312385446625,0.014031607377966271,0.0,686132.998167146,844414.3842540206
2,6.6493689524354975,1.799999993176726,0.20194154841243958,1.9111781455118573,1.3884715746648446,16.98890191402122,0.41207052906447084,0.0001,CRS2,3,XTOL_REACHED,13675,13.981000185012817,9.999991489403312e-5,2.812699623730099e7,7.463243429833694e6,4.270470689324297e6,1.1733714119157992e7,2910.0,4818.0,313.0,350.0,47.59089209234497,89921.98442795959,0.013384649739794616,0.0,1.4387517508473534e6,9130.049517484596
1,4.000922790002248,1.8,5.492210997684631,0.8637815534001555,1.4350211190571533,16.237661593427926,0.3559226984771584,0.0001,CRS2,4,XTOL_REACHED,18588,18.944000005722046,9.99999985690058e-5,2.48234860395175e7,6.799955480372348e6,2.777938693328541e6,9.577894173700888e6,1198.0,3583.0,125.0,233.0,161.84024173590268,42883.108369812646,0.01403161964447159,0.0,686129.7339170023,844417.7177533709
2,6.649367185670013,1.8,0.20194136138315497,1.9111784519052268,1.388471441126807,16.988903137677113,0.4120705159304745,0.0001,CRS2,4,XTOL_REACHED,15507,15.82099986076355,9.999999945095719e-5,2.8126994966178715e7,7.4632430893725455e6,4.27047106292357e6,1.1733714152296115e7,2910.0,4818.0,313.0,350.0,47.591056536385864,89921.98504346472,0.01338465793559209,0.0,1.4387517606954356e6,9130.072609289435
1,4.000923710119936,1.7999999858844624,5.492219339419895,0.8637799434194223,1.4350211240019024,16.237658588688504,0.35592269730984916,0.0001,CRS2,5,XTOL_REACHED,18217,18.578999996185303,9.99999912168922e-5,2.482348594641082e7,6.799955730857771e6,2.777938705732763e6,9.577894436590534e6,1198.0,3583.0,125.0,233.0,161.8401327035787,42883.061687456495,0.014031635334089354,0.0,686128.9869993039,844418.4313924331
2,6.649367218412399,1.799999999737255,0.20194209241796784,1.911178456671526,1.3884713374469406,16.98890305980716,0.4120705178559358,0.0001,CRS2,5,XTOL_REACHED,14729,15.048999786376953,9.999998159577342e-5,2.8126995064423077e7,7.463243134072404e6,4.270471114103157e6,1.1733714248175561e7,2910.0,4818.0,313.0,350.0,47.59087891664932,89921.98507787903,0.013384663074209758,0.0,1.4387517612460644e6,9130.0715850164
1,4.000924151180579,1.7999999990258202,5.492171164166272,0.8637865012487808,1.4350211200490037,16.237674505074786,0.3559226938832664,0.0001,CRS2,6,XTOL_REACHED,21359,21.947999954223633,9.999999911871863e-5,2.482348810160098e7,6.799954045432972e6,2.7779362774477173e6,9.577890322880689e6,1198.0,3583.0,125.0,233.0,161.8408074870112,42883.30291192839,0.014031607793508814,0.0,686132.8465908542,844414.5452622704
2,6.6493671014949145,1.8,0.20194198741301234,1.9111784659699944,1.3884713601846688,16.98890309872624,0.41207051662080163,0.0001,CRS2,6,XTOL_REACHED,14748,15.217000007629395,9.999998053834652e-5,2.8126994957692523e7,7.463243109068082e6,4.270471129337167e6,1.173371423840525e7,2910.0,4818.0,313.0,350.0,47.590925564900964,89921.98496107831,0.01338465751516301,0.0,1.438751759377253e6,9130.075786830796
1,4.000924455181667,1.7999999989375999,5.492168934756117,0.8637867207359322,1.435021118546486,16.23767491806074,0.3559226934556311,0.0001,CRS2,7,XTOL_REACHED,22054,22.256999969482422,9.999999944903631e-5,2.4823488241104826e7,6.79995397522911e6,2.7779360912424987e6,9.577890066471608e6,1198.0,3583.0,125.0,233.0,161.8408408175154,42883.3126265089,0.014031607597069664,0.0,686133.0020241424,844414.3763971296
2,6.646560133011434,1.8,0.16719931047060124,1.9139071149945035,1.3934346066162098,16.99888830716906,0.41210260617385813,0.0001,CRS2,7,XTOL_REACHED,14070,14.28499984741211,9.999993846083732e-5,2.8128770648747105e7,7.462958148411407e6,4.272548173865413e6,1.173550632227682e7,2917.0,4817.0,314.0,351.0,54.53233545731762,89964.72382293265,0.013395087328217259,0.0,1.4394355811669223e6,8661.880442474272
1,4.000924420045529,1.7999999985776827,5.492164373140207,0.8637873646159969,1.4350211233592818,16.23767657181533,0.3559226936055858,0.0001,CRS2,8,XTOL_REACHED,22721,23.046000003814697,9.999999165212282e-5,2.4823488465964314e7,6.799953817481836e6,2.7779358851869013e6,9.577889702668738e6,1198.0,3583.0,125.0,233.0,161.84090422186404,42883.33589745025,0.014031606441876418,0.0,686133.374359204,844414.0058699121
2,6.649367696957185,1.7999999341934978,0.20194192869913122,1.9111784698395515,1.3884714134377538,16.988903615097044,0.41207052678575257,0.0001,CRS2,8,XTOL_REACHED,14026,14.28499984741211,9.999983113840138e-5,2.812699577141665e7,7.463243241178926e6,4.270471166851337e6,1.1733714408030264e7,2910.0,4818.0,313.0,350.0,47.59103508998201,89921.98517841031,0.01338465904402061,0.0,1.438751762854565e6,9130.094144116047
1,4.000924458270063,1.8,5.492161269620724,0.8637877865256269,1.435021121903395,16.237677588438537,0.3559226934657672,0.0001,CRS2,9,XTOL_REACHED,19738,20.40499997138977,9.999999394778739e-5,2.4823488611706506e7,6.799953710882699e6,2.7779357273474154e6,9.577889438230114e6,1198.0,3583.0,125.0,233.0,161.84094773890678,42883.35137544446,0.01403160595429438,0.0,686133.6220071113,844413.7557598187
2,6.649367340218495,1.7999999689889186,0.2019419060635879,1.9111785081155452,1.388471386149659,16.98890359432176,0.41207052352384577,0.0001,CRS2,9,XTOL_REACHED,13406,13.875999927520752,9.999991867726106e-5,2.8126995468123205e7,7.463243191730196e6,4.270471205483088e6,1.1733714397213284e7,2910.0,4818.0,313.0,350.0,47.590946685408674,89921.98563205218,0.013384674778453913,0.0,1.4387517701128349e6,9130.076160770916
1,4.000924332583173,1.7999999970666116,5.492163462391118,0.8637875176677209,1.4350211211231072,16.23767701762101,0.35592269368419915,0.0001,CRS2,10,XTOL_REACHED,24767,25.592000007629395,9.999999535522007e-5,2.4823488501176897e7,6.799953780964788e6,2.77793586282493e6,9.577889643789718e6,1198.0,3583.0,125.0,233.0,161.84091635649824,42883.34098232776,0.014031606103353146,0.0,686133.4557172442,844413.9291564039
2,6.649367348514641,1.7999999996073786,0.2019440431061883,1.9111783958210693,1.3884710699129486,16.988902746731526,0.4120705204508497,0.0001,CRS2,10,XTOL_REACHED,12797,13.43399977684021,9.99999487321631e-5,2.812699522124123e7,7.46324322042864e6,4.270471135749243e6,1.1733714356177883e7,2910.0,4818.0,313.0,350.0,47.59046016550557,89921.98442777453,0.013384664843285616,0.0,1.4387517508443925e6,9130.079442150884
1,4.000868250821712,1.7999999999632557,5.495030830585814,0.8630372307858554,1.409730994698765,16.21842604698261,0.3550642720033399,0.00015,CRS2,1,XTOL_REACHED,18973,20.020000219345093,0.0001499999954044685,2.4773134645495895e7,6.782751841743407e6,2.758176176739228e6,9.540928018482635e6,1198.0,3582.0,125.0,233.0,161.79754666612715,42846.313088161754,0.014048261515610904,0.0,685541.0094105881,844628.3818813399
2,6.6113775886111075,1.8,0.1428364689459383,1.9255149719809745,1.382859944478397,17.012235299685308,0.4115844869127645,0.00015,CRS2,1,XTOL_REACHED,16834,17.533999919891357,0.0001499999755203821,2.8086341952993665e7,7.450851373612018e6,4.2774490618103305e6,1.172830043542235e7,2925.0,4812.0,316.0,351.0,60.3720361046242,90020.84250812104,0.013345715579817128,0.0,1.4403334801299367e6,8192.16203724816
1,4.000760608959569,1.8,5.502900750914716,0.8616027866237277,1.4097310128391756,16.217150726331827,0.3550640742297485,0.00015,CRS2,2,XTOL_REACHED,18187,18.94700002670288,0.0001499999525609858,2.4772827205968983e7,6.782869249379722e6,2.758385524738107e6,9.54125477411783e6,1197.0,3583.0,125.0,233.0,161.68722667595242,42807.05246021313,0.01404936814214215,0.0,684912.8393634101,845261.3230339957
2,6.611378536847828,1.8,0.14283745247422502,1.9255147493626783,1.3828597185830838,17.01223390226463,0.411584484442087,0.00015,CRS2,2,XTOL_REACHED,17333,18.0770001411438,0.000149999981828031,2.8086342011991348e7,7.450851419415089e6,4.277448684828673e6,1.1728300104243763e7,2925.0,4812.0,316.0,351.0,60.37163855984378,90020.8410764297,0.013345688170654105,0.0,1.4403334572228752e6,8192.164500903638
